"","eigen.corrm..values","cum_sum_eigen","pct_var","cum_pct_var"
"1",9.44777993235763,9.44777993235763,0.262438331454379,0.262438331454379
"2",2.75025838905273,12.1980383214104,0.0763960663625758,0.338834397816955
"3",2.01217621764724,14.2102145390576,0.0558937838235344,0.394728181640489
"4",1.8711779664154,16.081392505473,0.0519771657337611,0.44670534737425
"5",1.68470421488842,17.7660967203614,0.0467973393024561,0.493502686676706
"6",1.59447714134163,19.360573861703,0.0442910317039343,0.537793718380641
"7",1.54972742078597,20.910301282489,0.0430479839107213,0.580841702291362
"8",1.43301036222099,22.34331164471,0.0398058433950275,0.620647545686389
"9",1.17436983166431,23.5176814763743,0.0326213842128976,0.653268929899287
"10",1.00179847981822,24.5194799561925,0.0278277355505062,0.681096665449793
"11",0.98610876736195,25.5055887235545,0.0273919102044986,0.708488575654292
"12",0.932951843455348,26.4385405670098,0.0259153289848708,0.734403904639163
"13",0.88103510883393,27.3195756758438,0.0244731974676092,0.758877102106772
"14",0.834811688067631,28.1543873639114,0.0231892135574342,0.782066315664206
"15",0.806516518818333,28.9609038827297,0.0224032366338426,0.804469552298049
"16",0.759026889855003,29.7199307725847,0.0210840802737501,0.825553632571799
"17",0.698411921775868,30.4183426943606,0.0194003311604408,0.84495396373224
"18",0.685314909556616,31.1036576039172,0.0190365252654616,0.863990488997701
"19",0.642796126117839,31.7464537300351,0.0178554479477178,0.881845936945419
"20",0.632166460929521,32.3786201909646,0.0175601794702645,0.899406116415683
"21",0.48288819004376,32.8615083810083,0.0134135608345489,0.912819677250232
"22",0.391497382741637,33.25300576375,0.0108749272983788,0.923694604548611
"23",0.383110946671995,33.636116710422,0.0106419707408887,0.9343365752895
"24",0.320280939688054,33.95639765011,0.00889669276911261,0.943233268058612
"25",0.304534931408197,34.2609325815182,0.00845930365022771,0.95169257170884
"26",0.275390132811692,34.5363227143299,0.00764972591143589,0.959342297620276
"27",0.269503761204549,34.8058264755345,0.00748621558901526,0.966828513209291
"28",0.225765010918995,35.0315914864535,0.00627125030330542,0.973099763512597
"29",0.2153398314422,35.2469313178957,0.00598166198450555,0.979081425497102
"30",0.185128104856192,35.4320594227518,0.00514244735711644,0.984223872854219
"31",0.165022170837393,35.5970815935892,0.00458394918992759,0.988807822044146
"32",0.125806355011033,35.7228879486003,0.00349462097252868,0.992302443016675
"33",0.112419256864424,35.8353072054647,0.00312275713512289,0.995425200151798
"34",0.100489948711513,35.9357971541762,0.00279138746420869,0.998216587616007
"35",0.0527304407536115,35.9885275949298,0.0014647344653781,0.999681322081385
"36",0.0114724050701554,36,0.000318677918615427,1
