"","  ï..Manufacturer","    Model","Sales_in_thousands","X__year_resale_value","   Vehicle_type","Price_in_thousands"," Engine_size","  Horsepower","  Wheelbase","    Width","    Length"," Curb_weight","Fuel_capacity","Fuel_efficiency","   Latest_Launch","Vehicle_Dummy","Power_perf_factor","   ln_sales"
"","Dodge     : 11  ","Neon   :  2  ","Min.   :  0.11  ","Min.   : 5.16  ","Car      : 41  ","Min.   : 9.235  ","Min.   :1.000  ","Min.   : 55.0  ","Min.   : 92.6  ","Min.   :62.60  ","Min.   :149.4  ","Min.   :1.895  ","Min.   :10.30  ","Min.   :15.00  ","01/04/2012:  2  ","Min.   :0.0000  ","Min.   : 23.28  ","Min.   :-2.207  "
"","Ford      : 11  ","3-Sep  :  1  ","1st Qu.: 14.11  ","1st Qu.:11.26  ","Passenger:116  ","1st Qu.:18.017  ","1st Qu.:2.300  ","1st Qu.:149.5  ","1st Qu.:103.0  ","1st Qu.:68.40  ","1st Qu.:177.6  ","1st Qu.:2.971  ","1st Qu.:15.80  ","1st Qu.:21.00  ","01/24/2011:  2  ","1st Qu.:0.0000  ","1st Qu.: 60.41  ","1st Qu.: 2.647  "
"","Chevrolet :  9  ","3000GT :  1  ","Median : 29.45  ","Median :14.18  ",NA,"Median :22.799  ","Median :3.000  ","Median :177.5  ","Median :107.0  ","Median :70.55  ","Median :187.9  ","Median :3.342  ","Median :17.20  ","Median :24.00  ","01/29/2012:  2  ","Median :1.0000  ","Median : 72.03  ","Median : 3.383  "
"","Mercedes-B:  9  ","300M   :  1  ","Mean   : 53.00  ","Mean   :18.07  ",NA,"Mean   :27.391  ","Mean   :3.061  ","Mean   :185.9  ","Mean   :107.5  ","Mean   :71.15  ","Mean   :187.3  ","Mean   :3.378  ","Mean   :17.95  ","Mean   :23.84  ","02/10/2011:  2  ","Mean   :0.7389  ","Mean   : 77.04  ","Mean   : 3.296  "
"","Toyota    :  9  ","323i   :  1  ","3rd Qu.: 67.96  ","3rd Qu.:19.88  ",NA,"3rd Qu.:31.948  ","3rd Qu.:3.575  ","3rd Qu.:215.0  ","3rd Qu.:112.2  ","3rd Qu.:73.42  ","3rd Qu.:196.1  ","3rd Qu.:3.800  ","3rd Qu.:19.57  ","3rd Qu.:26.00  ","02/18/2011:  2  ","3rd Qu.:1.0000  ","3rd Qu.: 89.41  ","3rd Qu.: 4.219  "
"","Chrysler  :  7  ","328i   :  1  ","Max.   :540.56  ","Max.   :67.55  ",NA,"Max.   :85.500  ","Max.   :8.000  ","Max.   :450.0  ","Max.   :138.7  ","Max.   :79.90  ","Max.   :224.5  ","Max.   :5.572  ","Max.   :32.00  ","Max.   :45.00  ","02/23/2012:  2  ","Max.   :1.0000  ","Max.   :188.14  ","Max.   : 6.293  "
"","(Other)   :101  ","(Other):150  ",NA,"NA's   :36  ",NA,"NA's   :2  ","NA's   :1  ","NA's   :1  ","NA's   :1  ","NA's   :1  ","NA's   :1  ","NA's   :2  ","NA's   :1  ","NA's   :3  ","(Other)   :145  ",NA,"NA's   :2  ",NA
