,N,Nmiss,Mean,StdDev,Min,P.1%,P.5%,P.25%,P.50%,P.75%,P.95%,P.99%,Max,LowerCap,UpperCap
session_length_seconds,10000,0,35716.7484,75896.32471,0,3,72,1449,8063.5,36023.5,159816.85,356935.13,1628535,-191972.2257,263405.7225
session_count,10000,0,64.1758,102.1226547,1,1,1,3,17,79,286,465.01,828,-242.192164,370.543764
event_count,10000,0,721.4207,1443.556428,1,4,6,41,197,789,3032.05,6587.32,25869,-3609.248583,5052.089983
closed_session_event_count,10000,0,109.0867,189.6328675,0,1,2,6,28,128,484,895.02,2671,-459.8119026,677.9853026
open_session_event_count,10000,0,108.4248,189.1109004,0,1,2,6,28,127,484,893.04,2664,-458.9079011,675.7575011
quest_completed_event_count,10000,0,202.2516,737.3073673,0,0,0,3,20,103,957.05,3085.11,17538,-2009.670502,2414.173702
store_purchase_event_count,10000,0,4.6763,17.47489787,0,0,0,0,0,3,20,71.01,401,-47.74839361,57.10099361
active_days,10000,0,15.2343,16.42441413,1,1,1,2,8,24,53,55,55,-34.0389424,64.5075424
